Package Name,Reviewer Name,Review,Rating
MyExpenses,Corey Lathan,love it,5
MyExpenses,Arnaldo Cícero Bezerra,This is one of the best management tools that I've ever used.,5
MyExpenses,akshay porwal,Best Toll,5
MyExpenses,Kamil Hiero,"Wow, such an application, on Android device of all places. For now, beats every Personal Finance solution available for desktops. Bravo.",5
MyExpenses,Grampy,"Would like to change format of transaction screen so that ""payee/party"" is at the top and bolded. Also, when I back up to Dropbox, then restore on a different device, there is a difference in the cleared total at the top of the transaction screen.",3
MyExpenses,Monther Tariq,"Hands down the best budgeting app you'll need. Has pie charts and is continually updated. Great, timely support from the devs. Highly recommended purchasing at least the extended key. Has cloud and local backups. The problem is that cloud backups often face problems and you have to delete it and set it up again.",4
MyExpenses,Logan Spencer,"Awesome app, perfect for keeping a close eye on what you do with your money. I use it to budget and it works great.",5
MyExpenses,Shyamlal kumawat,good,5
MyExpenses,P A,"Pretty good but uninstalled. No split transactions in the free mode & no info on how to best input & track sales taxes & is an extreme weak point. Some user locations have local, state and federal taxes, so 2+ taxes to be applied to a split expense. Inputting as an expense or as a separate entry is a slow PITA option. Your Taxes function is on ""roadmap"" 6 years, since 2017!!! $5 price option buried and not clear? So Thanks? But misleading? $17+ to $24 USD or a subscription is too expensive!",2
MyExpenses,Naufal Shamsudeen,Not able to update,4
MyExpenses,Dan Groves,Excellent app for tracking expenses,5
MyExpenses,Kei Ko,Hi can you help me because I just paid my subscription on dec 19 but it says my current status license is still free.,2
MyExpenses,Isa Bagirov,It made me sad. It can't work accurately with numbers.,1
MyExpenses,Anish Shrestha,It's really handy on keeping tabs of your expenses.,5
MyExpenses,Sherman Lieberman,"Love the app! Previously installed from Amazon App Store and upgraded with purchased Contrib key. Can't update on Amazon, but Google Play insists on updating, and install keeps failing. Help please (thanks). Galaxy S21, Android 14.",5
MyExpenses,Amanalki,Does everything I need,5
MyExpenses,jd t,"After the new update, all the split parts under split transactions were lost only the total amount appeared, will you have a new update to recover the split parts under split transactions? Thank you",4
MyExpenses,joe poe,New update all my split transaction were lost.,4
MyExpenses,Margie Anagnos,Very good,5
MyExpenses,Jack,"Cool app, but unfortunately even some basic features are not available in the free version. I like that it's open-source, but unfortunately the free version is completely pointless.",3
MyExpenses,Keiko C.,"I really love the app because it keeps updating but I hope you also considerate if we can edit the types of Account and I hope categories will replace on the menu since I keep going on settings then data if I editing it, so much actions. Sorry for my rant but I will keep supporting it. Thank you ☺",4
MyExpenses,Gilad the Grain,"The F-Droid build is better than this build. Still, a great solution to an issue. Highly recommended, very powerful features",4
MyExpenses,Ezzat Azzam,The application is perfect .. but I have an important note English language only in settings.. There is no Arabic language since the penultimate update,5
MyExpenses,j umamahes,"App is very useful but while it updating I lost my extended key,app showing ads. If you provide any key to reactivate it very useful to all.",2
MyExpenses,Akhilesh,"After years of experimenting, I have come back to this app and I can say with a fair bit of confidence that this is a really well designed finance tracker and looks much better now. Dev: consider updating the screenshots on the app page here with a device with a larger screen!",5
MyExpenses,Naresh K,ok,5
MyExpenses,Imroz Abid 19O67,Best app,5
MyExpenses,"MONABAI “UZTADZA A., M M.” ACMAD",MABUHAY,5
MyExpenses,Mustafa KASARCI,Exellent,4
MyExpenses,Kakashi,Works great,5
MyExpenses,R S,"I was looking for the capability of subtotals and grand totals. If this application allows such they have kept it well hidden. I had no idea detail, detail, subtotal, detail, detail, subtotal, grand total was so difficult but apparently it is.",1
MyExpenses,Kenneth Fu,"very nice app, it would be great if having an option on the main screen to first show payer/payee name than notes after the slash. so the name list can align as a column for easier glance. keep up the good work.",4
MyExpenses,Kim Hock Goh,would prefer the analog clock selection as it is easier to use,5
MyExpenses,Deepak Ajay,"it's a must have for everyone, good ui .Get used to this",5
MyExpenses,Hong Ng Kok,I have been testing many money manager apps.. this is a good one. Highly recommended,5
MyExpenses,DIGIWORLD Interior Exteriors,Fantastic app.,5
MyExpenses,Lan Dang,Could you please make this app for iPhone 🙏🙏🙏🙏🙏,5
MyExpenses,harsha,Good FOSS app!,5
MyExpenses,Manuel Palomares,very Nice app to keep track of your spending...try it You will love it,5
MyExpenses,Sanjo Joy,"Good APP. No ads, but for some advanced features you have to pay. The UI is perfect for someone who likes it simple. But for me, I would like it more aesthetic, so I am moving on to ivy wallet, which is open source",4
MyExpenses,Jacobo,"Currently the best expense tracking software for Android (having tested MANY). Best for those coming from anMoney, like me. Thanks for this piece of software! P.S. Tbe UI needs a lot of refining ;)",5
MyExpenses,Gilad the Grain,It's so good I've recommended to my friends. There's a reason why it's available to download in F-droid.,5
MyExpenses,Mihir Miskat,"Plz, improve the backup system by email",1
MyExpenses,Anne Golla,Excellent app!,5
MyExpenses,Susan Achola,It's easy to use,5
MyExpenses,Imeh Moses,Okay,5
MyExpenses,Eduardo Serra,"Excellent once you get the hang of it. I'm managing my accounts, credit cards, expenses, transfer between accounts, savings for different purposes (as cash accounts to which I ""transfer"" from the real account where the money is, let me know if that's the ideal use scenario), and budgets. Also it backs up to the cloud everyday and does tons more which I haven't mentioned.",5
MyExpenses,Deepak Kaushik,Nice application good job,5
MyExpenses,Frank Schepers,great wee app. works really well,5
MyExpenses,Maya Dg,Please make it available for iOS as well 🙏🙏🙏 can't find anything the same on iOS. Thank you so much,5
MyExpenses,M Nasir Younas,Lovely app. Satisfied entries,5
MyExpenses,Gabe Toma,super great app with lots of options and control I paid for pro version and it's much more fket,5
MyExpenses,Mohamad farid Mohamad nazeri,GOOD,4
MyExpenses,Nidhinkozhiparambil Ram,Thank you for this awesome application,5
MyExpenses,Abdurrahman Vaiz,"Many of the basic features are paid!! The design is somehow complicated and not so good. It would be better if it was more simple. You can not choose between weekly, monthly or yearly records!",2
MyExpenses,Eric Dixon,"Really good. The budgeting screen is frustrating as the subcategories do not automatically add up to the main category amount, you have keep trying to figure out what the main category amount should be if you change a sub category",5
MyExpenses,Waqas Bin Iqbal,"Before the 2 updates you can undelete all deleted entries within on touch, just select all deleted entries and select undelete from options and its done but now after update this features isn't available. You've to select deleted entries one by one and then select undelete it,for example you've deleted 3 enteries and now you want to undelete these, for that you'll select on entery and will select undelete then same process for 2nd entery and so on. its awful, kindly fix it to like previous one",4
MyExpenses,Michael Johnson,it's pretty good,5
MyExpenses,Matt Holschbach,"When my anMoney decide to be unsupported I struggled to find a replacement app that could do everything I needed. This had it all. Easy to use, but best of all AMAZING customer service with quick responses and fixes the 2 times I ever had a problem (1 was user error on my part). Definitely 5 stars, at least!",5
MyExpenses,Emrah UYGUR,There should be no installments and credit card installments in the program. There are many programs that need to divide into installments and write the remaining amount with the remaining installments.,3
MyExpenses,love thakker,Good app to track expenses. Sometimes the update are buggy and crashes the app on start.,4
MyExpenses,Hicham Harb,The latest update wiped out my info...🙄,5
MyExpenses,Udai Kumar Bhuvanagiri,"After latest update, app not opening, while trying to open, it is crashing",5
MyExpenses,ASamad Hazimi,يشترط الدفع لكثير من التفاصيل البدائية ، وكثير من الاعلانات المزعجة,2
MyExpenses,christopher malambo,Great app,5
MyExpenses,vlad tut,"++: There is a loan in a simplified form (thanks), there is a recipient category and tags, there is a section with debts. --: there is no design, there is no analytics (neither by tags nor by stores), debts cannot be paid (in parts or in full, only closed). As an example, I always cite the ""Moze 3.0"" application on iOS - the most powerful of all available.",3
MyExpenses,SATISH KUMAR,it looks good for now has simple and useful features. Good UI too,4
MyExpenses,KL (Kelvin),"Ngl this app is by far the best expenses tracker app. I have tried so many expenses trackers but this one is just perfect in every aspect. Easy to use. It gets you to the point unlike many expense apps out there that focus a lot on beautiful UI. I just love this app. 
Thanks Developer",5
MyExpenses,Baraa Sultan,Better app ever for payment arrangement with all small details. You don't need even for a calculator. It helps you dividing your business payments. Thanks for the Developer. You help me a lot.,5
MyExpenses,Edilmo Carvajal,Good app,4
MyExpenses,Amit,A really awesome app with one of the best UI. Just purchased the Professional key with localised currency rates😇,5
MyExpenses,Shihabudheen K,"New UI Design is hideous and consumes so much space in screen. Earlier it was very easy to duplicate transaction, now needs to go through more steps to do so",1
MyExpenses,christoph lopez,When you create a future expense the app spams you (on the planned day) with you un-deletable notifications. You are forced to open the app and then it creates a dublicate of the already existing expense! Horrible design choice for the paid version,1
MyExpenses,Johnny Kron,Sort by last used does not function properly.,1
MyExpenses,A Google user,"Update 23.11. after 2star reduction from 23.11. : after todays release this is going back to 4, even 5 stars. It is the best expense tracking app. The GUI changes, which are now completely optional, made it unusable for me temporary. Lucky I am.",5
MyExpenses,Ilia Slobodchikov,Tried a whole bunch of expense and budget trackers. Landed on this one as it allows all custom categories and convenient budget tracking. My only wish is to be able to access budgeting from the 'home' view rather than having to click on 3 dots and on 'budgeting'.,5
MyExpenses,Jakob Burger,For my purpose this tops.,5
MyExpenses,sarik sadman,"input system is concise, very intuitive, and not cumbersome while including complex but much needed features like debt parties, multiple accounts, payer-payee system",5
MyExpenses,Ray Chaplin,This app allows the transfer of data from MSMONEY a Windows product and is just what I have been looking for to enable usage on Android. Fully agree with other comments re categories. Definitely a well written app.,4
MyExpenses,Oleksandr Palii,"Great app, many useful features. Open source rocks \m/",5
MyExpenses,Prashant Roy,One of the best expense tracking app that I've ever used. It privacy focused and you are always in control of your data. Absolutely fab app. Highly recommended.,5
MyExpenses,Mike CA,"Best in play store. This is designed by someone who obviously understands accounting. No fluff and splashy graphics, gets the job done and does it very well. Developer routinely updates app with fixes and enhancements. Personal support is quick and efficient. Developer listens to user input. After testing out the free version I am quite happy to pay the nominal annual subscription fee. Have been satisfied user for almost a year. Aug 2022 update: Had a minor issue, support solved within hours! 👍",5
MyExpenses,open star,Best app ever!! I use it daily to track my expenses works really smooth,5
MyExpenses,GTA Engineer,very good nice and easy,5
MyExpenses,Sino-Atrial Node,The amount of care you put on the app is evident.,5
MyExpenses,Singaravel Senthil,very nice 👌,5
MyExpenses,Cona Han,nice and easy to use with minimal ads,5
MyExpenses,Edith,"Have been looking for an android app that split expenses into different categories, record transactions in the corresponding account, keep track of who you loan money to and who you owe. Love the capabilities of the app and the low subscription fee. The only drawback is that you need to learn the system a bit as it is different from other budget & expense tracking apps, otherwise it would be a 5 star rating.",4
MyExpenses,Ashutosh Upadhyay,"Good features - you can add category and sub category under that, plus note, easy to use. Not available - chart or graphical summary, report to filter or analysis",3
MyExpenses,Sagheer farag,يستحق كل الشكر,5
MyExpenses,jamsheer C,Please add multiple files,4
MyExpenses,Ali Muneer,Perfect..can any one guide me .I just deleted the app by mistake but I did install again I used to male back up daily,5
MyExpenses,Farhad Ganji (nedkely),i think this app very good and usfully app,5
MyExpenses,Tshepiso Vsix,Earn money in my own bank account,3
MyExpenses,Umer Shaikh,I have been using this app for about year. Its is good app. But this app is not available on ios therefore it us limited to only android only. So when shift to ios i had to search for different app. It will be better if it is available for ios,3
MyExpenses,Nick Seaton,"Here's my long-overdue review after 2 years obsessed with this app. Served me so well for household budgets, loved it so much I now use it for my small business bookkeeping. Had to be built from the ground up with excellent functionality that meets all the needs I had for setting up all my different account types and all the various transactions that go through them and between them. Layout is so easy on the eyes and everything is so logically set up! Thank you Michael for all your hard work!!!",5
MyExpenses,Ginou Lotus,The best ever. Please make it available in the App Store.,5
MyExpenses,Aniket Chahal,"Loved it, bought contrib version",5
MyExpenses,David,One of the few apps I use daily and I am a happy subscriber. hope the great work continues,5
MyExpenses,toufik s,I hope u add like a static circle depends on categories,4
MyExpenses,Samuel Adem,Great app,1
MyExpenses,aimi,Awesome app..i bought the full version and been using it for almost 2 years.Recently switch to ios..do u have similar app on ios?,5
MyExpenses,Shahrom Redzuan,Very helpful app to manage my financial budgets. Ufortunately why this application didn't come out at my home screen anymore after my subscription?,4
MyExpenses,Sergey Plokhikh,Subscription,1
MyExpenses,Bibu Liviu,"After the last update, I no longer have valid licenses, and I have annoying ads again, in the play store I am logged in with the same account with which I paid for the two options. What is the problem?!",5
MyExpenses,Hen Dro,"sangat bermanfaat sekali aplikasinya, dan mudah di gunakan juga sebagai pencatat keuangan pribadi.",5
MyExpenses,Samuel Adem,Great app,1
MyExpenses,AhRayah Raash,great app,5
MyExpenses,Kenneth-Raymond: Cox,This is a most excellent application. I would like to buy the full pro package but I will not ever subscribe to any software and pay every year for the rest of my life. I did buy all the premium features that are not subscriptions. thank you again for your great work. this is a most excellent Well written program. when full premium without any subscriptions happens I'll give you all five stars.,4
MyExpenses,Hen Droo,Best of the best,5
MyExpenses,ابو جواد,very good,5
MyExpenses,Raja Parthiban,Using it for 1 yr really a good App,5
MyExpenses,Gajju Bohra,best,5
MyExpenses,Trung Le,"Very nice app, easy to use, active development",5
MyExpenses,しおか,App is good.. but I almost lost all my transactions data because of backup. It didn't work.. it keeps saying wrong password for the encryption. You need to work on data backup. Thank you,3
MyExpenses,Johan Deysel,"Would like to have this app on my laptop as well, but it seems this app is only for cellphones and tablets.",4
MyExpenses,Syed Imran Ali Ali,Please please is the app available in ios please let me know great aap dont want to miss it on ios....,5
MyExpenses,Tequila Sunrise,I like it so much.. i only wish it also support cryptocurrency,5
MyExpenses,saikat web,interface is not up to the mark,4
MyExpenses,KarnakB Babu,good,5
MyExpenses,Mohammed Akbar,I really love this... .,4
MyExpenses,Sudarshan Sarde,backup not provide,3
MyExpenses,kazi nizam,I liked it excectly what should be for personal accounting but budget book i dont get it how it works!!! Update bugeting i got it👍 I really liking it and thinking permanently using it.... Also are you thinking about windows version ?? Can you add login info like user name and password?,5
MyExpenses,Dr Prasanna S Basavaraju Basavaraju,Good way to keep diary but can't sync between different Mobile Phones . I cannot sync with different phones. Price is misleading 215 but it needs double Rs 430,1
MyExpenses,Atul Kumar Sibal,Excellent app. I would give it 5 stars if we had the option to choose tags color to distinguish between different tags rather than all white tags. Would the developer of this app be kind enough to consider and do the needful ASAP.,4
MyExpenses,Ahmed Rashed,Very Good,5
MyExpenses,Gilberto Tuñón,Good,5
MyExpenses,Siddig Fadul,Good app,3
